canonical_root_domain,registrable_domain,source_group,category,sampling_stratum,status,batch_id
frugalwoods.com,frugalwoods.com,Study A (A0),Personal Finance,Mid-scale Active Site,COMMITTED,A0-cumulative-50
esimoney.com,esimoney.com,Study A (A0),Personal Finance,Mid-scale Active Site,COMMITTED,A0-cumulative-50
budgetsaresexy.com,budgetsaresexy.com,Study A (A0),Personal Finance,Contrast Cohort,COMMITTED,A0-cumulative-50
consumerismcommentary.com,consumerismcommentary.com,Study A (A0),Personal Finance,Contrast Cohort,COMMITTED,A0-cumulative-50
1500days.com,1500days.com,Study A (A0),Personal Finance,Contrast Cohort,COMMITTED,A0-cumulative-50
apartmenttherapy.com,apartmenttherapy.com,Study A (A0),Home / DIY,Large/Traffic Leader,COMMITTED,A0-cumulative-50
seriouseats.com,seriouseats.com,Study A (A0),Food / Recipe,Large/Traffic Leader,COMMITTED,A0-cumulative-50
designsponge.com,designsponge.com,Study A (A0),Home / DIY,Contrast Cohort,COMMITTED,A0-cumulative-50
101cookbooks.com,101cookbooks.com,Study A (A0),Food / Recipe,Contrast Cohort,COMMITTED,A0-cumulative-50
shanty-2-chic.com,shanty-2-chic.com,Study A (A0),Home / DIY,Mid-scale Active Site,COMMITTED,A0-cumulative-50
tinyhousetalk.com,tinyhousetalk.com,Study A (A0),Home / DIY,Narrow Niche Authority,COMMITTED,A0-cumulative-50
loveandlemons.com,loveandlemons.com,Study A (A0),Food / Recipe,Mid-scale Active Site,COMMITTED,A0-cumulative-50
theperfectloaf.com,theperfectloaf.com,Study A (A0),Food / Recipe,Narrow Niche Authority,COMMITTED,A0-cumulative-50
afarmgirlsdabbles.com,afarmgirlsdabbles.com,Study A (A0),Food / Recipe,Mid-scale Active Site,COMMITTED,A0-cumulative-50
thewoodwhisperer.com,thewoodwhisperer.com,Study A (A0),Home / DIY,Narrow Niche Authority,COMMITTED,A0-cumulative-50
pcmag.com,pcmag.com,Study A (A0),Product Review / Buying Guides,Large/Traffic Leader,COMMITTED,A0-cumulative-50
tomsguide.com,tomsguide.com,Study A (A0),Product Review / Buying Guides,Large/Traffic Leader,COMMITTED,A0-cumulative-50
toptenreviews.com,toptenreviews.com,Study A (A0),Product Review / Buying Guides,Large/Traffic Leader,COMMITTED,A0-cumulative-50
gearpatrol.com,gearpatrol.com,Study A (A0),Product Review / Buying Guides,Mid-scale Active Site,COMMITTED,A0-cumulative-50
vacuumwars.com,vacuumwars.com,Study A (A0),Product Review / Buying Guides,Mid-scale Active Site,COMMITTED,A0-cumulative-50
runrepeat.com,runrepeat.com,Study A (A0),Product Review / Buying Guides,Narrow Niche Authority,COMMITTED,A0-cumulative-50
babygearlab.com,babygearlab.com,Study A (A0),Product Review / Buying Guides,Narrow Niche Authority,COMMITTED,A0-cumulative-50
homegrounds.co,homegrounds.co,Study A (A0),Product Review / Buying Guides,Narrow Niche Authority,COMMITTED,A0-cumulative-50
the-gadgeteer.com,the-gadgeteer.com,Study A (A0),Product Review / Buying Guides,Contrast Cohort,COMMITTED,A0-cumulative-50
consumersearch.com,consumersearch.com,Study A (A0),Product Review / Buying Guides,Contrast Cohort,COMMITTED,A0-cumulative-50
exceljet.net,exceljet.net,Pilot-100,Excel/Spreadsheet/Productivity (pilot-100 legacy bucket -- not split into Productivity/PKM vs. Excel/Spreadsheet without new research),UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
ablebits.com,ablebits.com,Pilot-100,Excel/Spreadsheet/Productivity (pilot-100 legacy bucket -- not split into Productivity/PKM vs. Excel/Spreadsheet without new research),UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
excelcampus.com,excelcampus.com,Pilot-100,Excel/Spreadsheet/Productivity (pilot-100 legacy bucket -- not split into Productivity/PKM vs. Excel/Spreadsheet without new research),UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
contextures.com,contextures.com,Pilot-100,Excel/Spreadsheet/Productivity (pilot-100 legacy bucket -- not split into Productivity/PKM vs. Excel/Spreadsheet without new research),UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
trumpexcel.com,trumpexcel.com,Pilot-100,Excel/Spreadsheet/Productivity (pilot-100 legacy bucket -- not split into Productivity/PKM vs. Excel/Spreadsheet without new research),UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
spreadsheeto.com,spreadsheeto.com,Pilot-100,Excel/Spreadsheet/Productivity (pilot-100 legacy bucket -- not split into Productivity/PKM vs. Excel/Spreadsheet without new research),UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
xelplus.com,xelplus.com,Pilot-100,Excel/Spreadsheet/Productivity (pilot-100 legacy bucket -- not split into Productivity/PKM vs. Excel/Spreadsheet without new research),UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
extendoffice.com,extendoffice.com,Pilot-100,Excel/Spreadsheet/Productivity (pilot-100 legacy bucket -- not split into Productivity/PKM vs. Excel/Spreadsheet without new research),UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
chandoo.org,chandoo.org,Pilot-100,Excel/Spreadsheet/Productivity (pilot-100 legacy bucket -- not split into Productivity/PKM vs. Excel/Spreadsheet without new research),UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
vertex42.com,vertex42.com,Pilot-100,Excel/Spreadsheet/Productivity (pilot-100 legacy bucket -- not split into Productivity/PKM vs. Excel/Spreadsheet without new research),UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
howtogeek.com,howtogeek.com,Pilot-100,Software / Tech Tutorials,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
makeuseof.com,makeuseof.com,Pilot-100,Software / Tech Tutorials,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
xda-developers.com,xda-developers.com,Pilot-100,Software / Tech Tutorials,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
lifewire.com,lifewire.com,Pilot-100,Software / Tech Tutorials,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
windowscentral.com,windowscentral.com,Pilot-100,Software / Tech Tutorials,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
digitaltrends.com,digitaltrends.com,Pilot-100,Software / Tech Tutorials,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
ghacks.net,ghacks.net,Pilot-100,Software / Tech Tutorials,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
guidingtech.com,guidingtech.com,Pilot-100,Software / Tech Tutorials,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
online-tech-tips.com,online-tech-tips.com,Pilot-100,Software / Tech Tutorials,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
addictivetips.com,addictivetips.com,Pilot-100,Software / Tech Tutorials,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
thespruce.com,thespruce.com,Pilot-100,Home / DIY,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
bobvila.com,bobvila.com,Pilot-100,Home / DIY,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
familyhandyman.com,familyhandyman.com,Pilot-100,Home / DIY,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
thisoldhouse.com,thisoldhouse.com,Pilot-100,Home / DIY,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
younghouselove.com,younghouselove.com,Pilot-100,Home / DIY,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
remodelaholic.com,remodelaholic.com,Pilot-100,Home / DIY,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
ana-white.com,ana-white.com,Pilot-100,Home / DIY,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
thehandymansdaughter.com,thehandymansdaughter.com,Pilot-100,Home / DIY,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
chrislovesjulia.com,chrislovesjulia.com,Pilot-100,Home / DIY,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
abeautifulmess.com,abeautifulmess.com,Pilot-100,Home / DIY,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
makingsenseofcents.com,makingsenseofcents.com,Pilot-100,Personal Finance,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
smartpassiveincome.com,smartpassiveincome.com,Pilot-100,Personal Finance,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
nerdwallet.com,nerdwallet.com,Pilot-100,Personal Finance,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
thepointsguy.com,thepointsguy.com,Pilot-100,Personal Finance,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
mrmoneymustache.com,mrmoneymustache.com,Pilot-100,Personal Finance,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
rootofgood.com,rootofgood.com,Pilot-100,Personal Finance,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
millennialmoney.com,millennialmoney.com,Pilot-100,Personal Finance,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
thepennyhoarder.com,thepennyhoarder.com,Pilot-100,Personal Finance,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
wallethacks.com,wallethacks.com,Pilot-100,Personal Finance,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
thefinancialdiet.com,thefinancialdiet.com,Pilot-100,Personal Finance,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
nerdfitness.com,nerdfitness.com,Pilot-100,Other Strong Niche,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
thesprucepets.com,thesprucepets.com,Pilot-100,Other Strong Niche,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
petmd.com,petmd.com,Pilot-100,Other Strong Niche,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
digital-photography-school.com,digital-photography-school.com,Pilot-100,Other Strong Niche,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
petapixel.com,petapixel.com,Pilot-100,Other Strong Niche,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
nolo.com,nolo.com,Pilot-100,Other Strong Niche,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
scarymommy.com,scarymommy.com,Pilot-100,Other Strong Niche,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
fluentu.com,fluentu.com,Pilot-100,Other Strong Niche,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
rennlist.com,rennlist.com,Pilot-100,Other Strong Niche,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
audio-issues.com,audio-issues.com,Pilot-100,Other Strong Niche,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
pinchofyum.com,pinchofyum.com,Pilot-100,Food / Recipe,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
minimalistbaker.com,minimalistbaker.com,Pilot-100,Food / Recipe,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
budgetbytes.com,budgetbytes.com,Pilot-100,Food / Recipe,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
sallysbakingaddiction.com,sallysbakingaddiction.com,Pilot-100,Food / Recipe,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
cookieandkate.com,cookieandkate.com,Pilot-100,Food / Recipe,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
halfbakedharvest.com,halfbakedharvest.com,Pilot-100,Food / Recipe,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
damndelicious.net,damndelicious.net,Pilot-100,Food / Recipe,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
gimmesomeoven.com,gimmesomeoven.com,Pilot-100,Food / Recipe,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
smittenkitchen.com,smittenkitchen.com,Pilot-100,Food / Recipe,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
onceuponachef.com,onceuponachef.com,Pilot-100,Food / Recipe,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
nomadicmatt.com,nomadicmatt.com,Pilot-100,Travel,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
theblondeabroad.com,theblondeabroad.com,Pilot-100,Travel,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
twomonkeystravelgroup.com,twomonkeystravelgroup.com,Pilot-100,Travel,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
travellemming.com,travellemming.com,Pilot-100,Travel,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
expertvagabond.com,expertvagabond.com,Pilot-100,Travel,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
ytravelblog.com,ytravelblog.com,Pilot-100,Travel,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
johnnyjet.com,johnnyjet.com,Pilot-100,Travel,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
adventurouskate.com,adventurouskate.com,Pilot-100,Travel,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
theplanetd.com,theplanetd.com,Pilot-100,Travel,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
zety.com,zety.com,Pilot-100,Career / Education,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
themuse.com,themuse.com,Pilot-100,Career / Education,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
askamanager.org,askamanager.org,Pilot-100,Career / Education,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
cultivatedculture.com,cultivatedculture.com,Pilot-100,Career / Education,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
examtopics.com,examtopics.com,Pilot-100,Career / Education,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
jobscan.co,jobscan.co,Pilot-100,Career / Education,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
resumegenius.com,resumegenius.com,Pilot-100,Career / Education,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
whizlabs.com,whizlabs.com,Pilot-100,Career / Education,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
corporette.com,corporette.com,Pilot-100,Career / Education,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
tutorialsdojo.com,tutorialsdojo.com,Pilot-100,Career / Education,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
epicgardening.com,epicgardening.com,Pilot-100,Gardening / Outdoor,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
ruralsprout.com,ruralsprout.com,Pilot-100,Gardening / Outdoor,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
gardenerspath.com,gardenerspath.com,Pilot-100,Gardening / Outdoor,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
gardenbetty.com,gardenbetty.com,Pilot-100,Gardening / Outdoor,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
backyardboss.net,backyardboss.net,Pilot-100,Gardening / Outdoor,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
modernfarmer.com,modernfarmer.com,Pilot-100,Gardening / Outdoor,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
sectionhiker.com,sectionhiker.com,Pilot-100,Gardening / Outdoor,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
halfwayanywhere.com,halfwayanywhere.com,Pilot-100,Gardening / Outdoor,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
nytimes.com/wirecutter,nytimes.com,Pilot-100,Product Review / Buying Guides,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
rtings.com,rtings.com,Pilot-100,Product Review / Buying Guides,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
outdoorgearlab.com,outdoorgearlab.com,Pilot-100,Product Review / Buying Guides,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
pcpartpicker.com,pcpartpicker.com,Pilot-100,Product Review / Buying Guides,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
sleepopolis.com,sleepopolis.com,Pilot-100,Product Review / Buying Guides,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
mattressclarity.com,mattressclarity.com,Pilot-100,Product Review / Buying Guides,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
swimuniversity.com,swimuniversity.com,Pilot-100,Product Review / Buying Guides,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
cordcuttersnews.com,cordcuttersnews.com,Pilot-100,Product Review / Buying Guides,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
reviewed.com,reviewed.com,Pilot-100,Product Review / Buying Guides,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
projectorreviews.com,projectorreviews.com,Pilot-100,Product Review / Buying Guides,UNKNOWN,EXCLUDED_PRIOR_PILOT,Pilot-100
careercontessa.com,careercontessa.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
classycareergirl.com,classycareergirl.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
careerattraction.com,careerattraction.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
careersidekick.com,careersidekick.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
careerpivot.com,careerpivot.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
careersherpa.net,careersherpa.net,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
eatyourcareer.com,eatyourcareer.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
positionignition.com,positionignition.com,Study A production wave,UNKNOWN,UNKNOWN,REJECTED,STUDY-A-W001
introvertwhisperer.com,introvertwhisperer.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
bossedup.org,bossedup.org,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
floretflowers.com,floretflowers.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
growveg.com,growveg.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
gardentherapy.ca,gardentherapy.ca,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
simplifygardening.com,simplifygardening.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
selfsufficientme.com,selfsufficientme.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
thesurvivalgardener.com,thesurvivalgardener.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
gardenrant.com,gardenrant.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
rootsimple.com,rootsimple.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
yougrowgirl.com,yougrowgirl.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
coldclimategardening.com,coldclimategardening.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
reactgo.com,reactgo.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
techiedelight.com,techiedelight.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
ezzylearning.net,ezzylearning.net,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
code4it.dev,code4it.dev,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
tyrrrz.me,tyrrrz.me,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
jeremykun.com,jeremykun.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
henrikwarne.com,henrikwarne.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
codinghorror.com,codinghorror.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
davidwalsh.name,davidwalsh.name,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
thegreenplace.net,thegreenplace.net,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
bemytravelmuse.com,bemytravelmuse.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
findingtheuniverse.com,findingtheuniverse.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
atlasandboots.com,atlasandboots.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
indietraveller.co,indietraveller.co,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
stingynomads.com,stingynomads.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
neverendingfootsteps.com,neverendingfootsteps.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
nomadasaurus.com,nomadasaurus.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
breathedreamgo.com,breathedreamgo.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
goatsontheroad.com,goatsontheroad.com,Study A production wave,UNKNOWN,UNKNOWN,REJECTED,STUDY-A-W001
hikebiketravel.com,hikebiketravel.com,Study A production wave,UNKNOWN,UNKNOWN,REJECTED,STUDY-A-W001
hodinkee.com,hodinkee.com,Study A production wave,UNKNOWN,UNKNOWN,REJECTED,STUDY-A-W001
becomingminimalist.com,becomingminimalist.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
winefolly.com,winefolly.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
marksdailyapple.com,marksdailyapple.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
precisionnutrition.com,precisionnutrition.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
theminimalists.com,theminimalists.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
breakingbourbon.com,breakingbourbon.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
thephoblographer.com,thephoblographer.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
strobist.blogspot.com,strobist.blogspot.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
manrepeller.com,manrepeller.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
keppiecareers.com,keppiecareers.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
wornandwound.com,wornandwound.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
legalnomads.com,legalnomads.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
youngadventuress.com,youngadventuress.com,Study A production wave,UNKNOWN,UNKNOWN,COMMITTED,STUDY-A-W001
