category,site_name,domain,primary_niche,sub_niche,winner_type,country_audience,start_year,traffic_est,traffic_evidence,traffic_source_url,revenue_reported,revenue_evidence,revenue_source_url,monetization_models,display_ads,affiliate,own_product,digital_product,course_community,newsletter_email_capture,saas_tool_lead,sponsored_content,content_scale,evergreen_or_news,dominant_search_intent,problem_solving_content,comparison_buying_content,tutorial_howto,first_hand_experience_evidence,downloadable_template_tool,free_tool_calculator,commercial_intent_level,visitor_to_revenue_distance,time_to_monetization,evidence_confidence,likely_primary_revenue_driver,likely_secondary_revenue_driver,cleansheethq_transferability_summary
Software/Tech Tutorials,How-To Geek,howtogeek.com,Tech tutorials,"OS/software how-to (Windows, Linux, browsers)",TRAFFIC WINNER,"US-heavy (61.8%), global",2006 (Valnet acquired July 2023),"~2.5M/mo (7.5M/3mo, declining -7.5% MoM)",B,similarweb.com/website/howtogeek.com/,UNKNOWN (Valnet private; no per-site figure),UNKNOWN,businesswire.com/news/home/20230704334015 (Valnet acquisition),"display ads (programmatic network), affiliate",Y,Y,N,N,N,Y,N,N (limited),"Very large (10,000+ articles, D)",Evergreen-dominant,Informational how-to,Y,Y (buying guides),Y,"N (editorial, not visibly lab-tested)",N,N,Medium,"HIGH (ad-supported, needs huge scale)",UNKNOWN,"MEDIUM (traffic=B, revenue=UNKNOWN, monetization=C)",Programmatic display ads (Valnet ad network),Affiliate (software/hardware),"Low-Medium: scale doesn't transfer, but evergreen how-to archive pattern does"
Software/Tech Tutorials,MakeUseOf,makeuseof.com,Tech tutorials,"Consumer tech, software lists, ""best of""",TRAFFIC WINNER / REVENUE WINNER,"US-heavy (56.2%), global",2006 (Valnet acquired July 2020),"~2M/mo (6.1M/3mo, +8.85% MoM growth)",B,similarweb.com/website/makeuseof.com/,UNKNOWN (Valnet private),UNKNOWN,businesswire.com/news/home/20200706005078,"display ads, affiliate",Y,Y,N,N,N,Y,N,N,Very large (D),Evergreen-dominant with news layer,Informational + comparison,Y,Y,Y,N,N,N,High,HIGH,UNKNOWN,"MEDIUM (traffic=B, monetization=C, revenue=UNKNOWN)",Affiliate (software/apps/hardware),Display ads,"Low-Medium: ""best of"" comparison format transfers in structure, not scale"
Software/Tech Tutorials,XDA Developers,xda-developers.com,Tech tutorials,"Android/mobile OS modding, dev-adjacent tutorials",TRAFFIC WINNER / NICHE AUTHORITY,"US 30.3%, India 8.3%, global",2003 forum origin; media since ~2011; Future plc 2019,"~2.9M/mo (8.8M/3mo, -5.4% MoM)",B,similarweb.com/website/xda-developers.com/,"UNKNOWN (part of Future plc, no per-site breakout)",UNKNOWN,futureplc.com/news/future-acquires-global-tech-media-publisher-mobile-nations/,"display ads, affiliate, forum/community",Y,Y,N,N,Y (active developer forum/community),Y,N,Y (some),"Very large (forum + articles, D)",Evergreen + news hybrid,Informational + technical how-to,Y,Y,Y,Y (hands-on ROM/rooting testing historically),N,N,Medium-High,HIGH,UNKNOWN,"MEDIUM (traffic=B, ownership=B, revenue=UNKNOWN)",Display ads,Affiliate (devices/accessories),"Medium: ""community as moat"" transfers conceptually but took 20+ years to build"
Software/Tech Tutorials,Lifewire,lifewire.com,Tech tutorials,Consumer electronics/software explainers,REVENUE WINNER,"US-heavy (61.6%), global",Launched 2016 (Dotdash Meredith/IAC),"~1.1M/mo (3.3M/3mo, -3.64% MoM)",B,similarweb.com/website/lifewire.com/,UNKNOWN at site level; parent reports digital revenue growth,B (parent-level only),amediaoperator.com/analysis/dotdash-meredith-sees-higher-digital-revenue-traffic-in-q3/,"display ads (premium/Dotdash direct-sold + programmatic), affiliate",Y,Y,N,N,N,Y,N,Y,Very large (D),Evergreen-dominant,Informational,Y,Y,Y,N,N,N,Medium,HIGH,UNKNOWN,"MEDIUM (traffic=B, revenue=B but parent-level not site-level)","Premium display ads (direct-sold, high RPM)",Affiliate,Low: premium ad-sales relationships inaccessible to solo bloggers
Software/Tech Tutorials,Windows Central,windowscentral.com,Tech tutorials,"Windows OS, Microsoft ecosystem, Xbox",NICHE AUTHORITY,"US 42.9%, global",Founded 2007; Future plc 2019,"~767K/mo (2.3M/3mo, -30.6% MoM sharp decline)",B,similarweb.com/website/windowscentral.com/,UNKNOWN (Future plc doesn't break out site-level),UNKNOWN,futureplc.com/news/future-acquires-global-tech-media-publisher-mobile-nations/,"display ads, affiliate",Y,Y,N,N,N,Y,N,Y,Large (D),Evergreen + news hybrid,Informational + news,Y,Y,Y,Y (hardware reviews),N,N,Medium,HIGH,UNKNOWN,LOW-MEDIUM (steep MoM decline unexplained — treat cautiously),Display ads,Affiliate (Microsoft hardware),Medium: owning one narrow ecosystem completely is directly analogous to CleanSheetHQ
Software/Tech Tutorials,Digital Trends,digitaltrends.com,Tech tutorials,"Consumer tech news + how-to, reviews",TRAFFIC WINNER,"US 48.0%, global",Founded 2006; owned by Recurrent Ventures ($300M raise 2022),"Est. low millions/mo (exact gated, +2.52% MoM)",D (partial B — MoM trend confirmed),similarweb.com/website/digitaltrends.com/,"UNKNOWN (Recurrent Ventures private, only funding round disclosed)",UNKNOWN,prnewswire.com/news-releases/recurrent...301550052.html,"display ads, affiliate, sponsored content",Y,Y,N,N,N,Y,N,Y,Large (D),News + evergreen hybrid,Informational + reviews,Y,Y,Y,"Y (product reviews, hands-on)",N,N,Medium-High,HIGH,UNKNOWN,LOW-MEDIUM (traffic=D since exact number gated; funding=A/B),Display ads,Affiliate,Low: capital-driven scale doesn't transfer; reviews+how-to mix is usable
Software/Tech Tutorials,gHacks,ghacks.net,Tech tutorials,"Windows/Linux/browser tips, privacy/software news",NICHE AUTHORITY,"US-heavy (inferred), global tech audience",2005 (founder Martin Brinkmann has since exited ownership),"~167K/mo (500.8K/3mo, +2.85% MoM)",B,similarweb.com/website/ghacks.net/,UNKNOWN,UNKNOWN,ghacks.net/about-us/,display ads (no newsletter/membership disclosed),Y,"Y (some, unconfirmed extent)",N,N,N,UNKNOWN (not found on About page),N,UNKNOWN,"Very large (20+ yr archive, D)",Evergreen-dominant,Informational how-to,Y,"N (mostly reviews, not comparison-buying)",Y,N (news/analysis style),N,N,Low-Medium,HIGH,UNKNOWN,MEDIUM (traffic=B; monetization details=D/UNKNOWN),Display ads,Affiliate (limited),High: best solo-operator analog — longevity + narrow niche as moat
Software/Tech Tutorials,Guiding Tech,guidingtech.com,Tech tutorials,"Consumer tech how-to, app tips (mobile + desktop)",NICHE AUTHORITY,"Global, India-relevant audience likely significant (D)","Founded 2009; independent ""Guiding Tech Media"" (earlier Zoho-acquisition claim unverifiable, dropped)","~276K/mo (828.3K/3mo, +1.41% MoM)",B,similarweb.com/website/guidingtech.com/,UNKNOWN,UNKNOWN,—,"display ads, affiliate, newsletter",Y,Y,N,N,N,Y,N,"Y (implied by ""Advertise"" page)","Large: self-reported 6,000+ guides/reviews, 5,400+ videos, 60M+ annual readers (A, self-reported)",Evergreen-dominant,Informational how-to,Y,Y,Y,N,N,N,Medium,HIGH,UNKNOWN,MEDIUM (traffic=B; self-reported readership stat=A but unverified; conflicts with Similarweb),Display ads,Affiliate,Medium: efficient per-article ratio and video-supplementation tactics are transferable
Software/Tech Tutorials,Online Tech Tips,online-tech-tips.com,Tech tutorials,General IT/consumer tech troubleshooting,NICHE AUTHORITY,"Global, US-leaning (inferred)","2007, founded by Aseem Kishore; run by AK Internet Consulting (5-site independent network)",~45K/mo (135.9K/3mo),B,similarweb.com/website/online-tech-tips.com/,"UNKNOWN (network claims 7M+ monthly pageviews across 5 sites combined, A/self-reported)","A (network-level, not site-level)",online-tech-tips.com/about/,"display ads, affiliate, sponsored/advertise page",Y,Y,N,N,UNKNOWN,UNKNOWN,N,Y,"Large (18-year archive, D)",Evergreen-dominant,Informational how-to,Y,N (limited),Y,"Y (site explicitly claims ""tested instructions"")",N,N,Medium,MEDIUM,UNKNOWN,MEDIUM (traffic=B site-level; revenue/pageview claim=A but network-wide),Affiliate,Display ads,"High: closest precedent for solo-operator portfolio with explicit ""tested"" trust claims"
Software/Tech Tutorials,AddictiveTips,addictivetips.com,Tech tutorials,"VPN/security reviews, Windows/Mac/Linux tips",NICHE AUTHORITY,"Global, US-leaning (inferred)",Founded 2008,"~78K/mo (233.9K/3mo, +3.17% MoM)",B,similarweb.com/website/addictivetips.com/,UNKNOWN,UNKNOWN,—,"affiliate (heavy VPN focus), sponsorships, YouTube ads",N/UNKNOWN (About 404'd),Y,N,N,UNKNOWN,N,Y,Y,"Medium: staff writers with named specialty beats, 17K+ YouTube subs, ~15M total views, 1,000+ videos (A, self-reported)",Evergreen-dominant,Comparison/buying (VPN reviews),Y,"Y (heavy — ""best VPN"" style)",Y,Y (specialist writers with named expertise),N,N,High,LOW-MEDIUM (high-intent buying content = short path),UNKNOWN,MEDIUM (traffic=B; YouTube stats=A self-reported; revenue=UNKNOWN),"Affiliate (VPN referral commissions, high-payout niche)",Display/sponsorship,High: best evidence traffic volume matters less than commercial-intent match
Home/DIY,The Spruce,thespruce.com,Home & garden general,"Cleaning, decor, repair (broad)",TRAFFIC WINNER,"US-primary (79.5%), global",~2016 (Dotdash rebrand of About.com Home),~4.4M/mo (13.3M/3mo),B,similarweb.com/website/thespruce.com,UNKNOWN,UNKNOWN,—,"Display ads (Dotdash programmatic), affiliate",Y,Y,N,N,N (D),Y (D),N,Y (D),"Very large (thousands of articles, Dotdash network)",Evergreen,Informational + commercial,Y,Y,Y,"Y (staff-tested claims, D)",N (D),UNKNOWN,Medium-High,LOW (ads convert on pageview),UNKNOWN,Medium (B-grade third-party traffic estimate),Display ads (Dotdash programmatic scale),Affiliate,"SEO-cluster + ""best of X"" comparison format transfers for tool/method roundups"
Home/DIY,Bob Vila,bobvila.com,Home improvement/repair,"Product ""best of"" guides, repair",REVENUE WINNER,US-primary (86.5%),"founded 2010s, TV personality est.1979","~1.1M/mo (current, was 14.5M/mo in 2022)","B (current) / B (2022 figure, different source)",similarweb.com/website/bobvila.com ; nichepursuits.com/bob-vila-affiliate-marketing,"UNKNOWN (implied high via traffic volume, not disclosed)",D (inferred from traffic+affiliate density),nichepursuits.com/bob-vila-affiliate-marketing,"Affiliate (Home Depot/sjv.io + many programs), display ads",Y,Y,N,N,N (D),Y (D),N,Y (D),"Large (""best of"" buying guides, extensive catalog)",Evergreen,Commercial (buying guides),Y,Y (core format),Y (D),"Y (product testing claims, D)",N (D),UNKNOWN,High,LOW (affiliate CTAs embedded),UNKNOWN,Medium (mixed current/historical B-grade data),Affiliate commissions,Display ads,"Affiliate-dense ""best tool for X"" format transfers directly to Excel add-in roundups"
Home/DIY,Family Handyman,familyhandyman.com,Home improvement/DIY,"Tools, repair, projects",REVENUE WINNER,US-primary,Magazine 1951; web era 2000s,8.2M monthly unique visitors (site) + 2.8M (Pro section),A (operator media kit),trustedmediabrands.com Family-Handyman-2024-Media-Kit.pdf,"UNKNOWN (ad rate card only: full-page print ad $68,415)","A (rate card, partial)",trustedmediabrands.com media kit,"Display ads, affiliate, sponsored/native, courses, streaming TV, print ads, newsletters",Y,Y,Y (shop.familyhandyman.com plans),Y (downloadable plans),Y (DIY University on-demand courses),"Y (640K+ subscribers, media kit)",N,"Y (native articles, media kit)",Large (magazine archive + web + video),Evergreen (mostly),Informational + commercial,Y,Y,Y,Y (long-running expert/pro contributor model),Y (paid plans),UNKNOWN,Medium-High,"MEDIUM (mixed models, some need conversion)",UNKNOWN,Medium-High (A-grade operator media kit),Diversified: affiliate + ads + courses/streaming,Affiliate e-commerce,Most transferable: diversified ads+affiliate+paid course model to pair with templates
Home/DIY,This Old House,thisoldhouse.com,Home renovation,Historic home restoration,NICHE AUTHORITY,US-primary (85.2%),TV show 1979; web est.,~313K/mo (938.6K/3mo),B,similarweb.com/website/thisoldhouse.com,UNKNOWN,UNKNOWN,—,"Display ads, affiliate, TV/streaming licensing",Y,Y,N,N,UNKNOWN,Y (D),N,Y (D),Large (decades of TV/print/web archive),Evergreen,Informational,Y,Y (D),Y,Y (decades of on-air renovation),N (D),UNKNOWN,Medium,MEDIUM,UNKNOWN,Medium (B-grade third-party estimate),Display ads + licensing,Affiliate,Deep before/after case-study format transfers to data-cleanup transformation showcases
Home/DIY,Young House Love,younghouselove.com,Home renovation/decor,"Room makeovers, renovation",NICHE AUTHORITY,US-primary,2006 (blog start),UNKNOWN (no current public figure found),UNKNOWN,—,UNKNOWN,UNKNOWN,—,"Affiliate, display ads, sponsored, digital products (paint/house plans partnerships historically)",Y,Y,Y (past house plans),Y,UNKNOWN,Y (D),N,Y (historically documented),"Medium (15+ yrs, single-family blog)",Evergreen,Informational/inspirational,Y,N (D),Y,Y (personal home documented),Y (past house plans),UNKNOWN,Medium,MEDIUM,UNKNOWN,Low (mostly D/UNKNOWN),Affiliate + sponsored,Display ads,Long-form personal narrative less relevant; consistency-over-years lesson transfers
Home/DIY,Remodelaholic,remodelaholic.com,Home renovation/DIY,"Remodel tutorials, before/afters",NICHE AUTHORITY,US-primary,2005,UNKNOWN (no current public figure found),UNKNOWN,—,UNKNOWN,UNKNOWN,—,"Affiliate (Amazon, Rockler), digital plans/printables shop, sponsored ""as seen in""",Y,Y,Y (plans/printables shop),Y,"UNKNOWN (link-party community, not paid course)",Y (D),N,Y (brand features noted),"Large (500+ project posts, weekly link parties since 2005)",Evergreen,Informational/inspirational (tutorial),Y,N (D),Y,Y (own 6 house renovations documented),Y (paid plans/printables),UNKNOWN,Medium,MEDIUM,UNKNOWN,Low (mostly D/UNKNOWN),Affiliate + digital plans sales,Sponsored features,Downloadable templates/printables monetization is highly transferable to Excel templates
Home/DIY,Ana White,ana-white.com,Woodworking/furniture DIY,Free furniture building plans,NICHE AUTHORITY,US/global,2009,"~3M monthly pageviews (2010-era, historical)","B (dated, historical)",socialmediaexaminer.com/how-alaskan-mom-brings-millions-to-her-carpentry-blog,"UNKNOWN (""supports her family,"" no figure)","D (operator statement, no number)",socialmediaexaminer.com article,"Display ads (historically), plans monetized indirectly, book deal",Y,UNKNOWN,N (plans mostly free),"Y (downloadable plans, mostly free)",N,Y (D),N,UNKNOWN,Large (500+ free plans; ~400 in yr 1),Evergreen,Informational (how-to/plans),Y,N,Y,Y (personal builds documented),"Y (free plans, core offering)",UNKNOWN,Low-Medium,"HIGH (mostly free content, indirect monetization)","UNKNOWN (revenue began ""year two,"" per operator)","Low-Medium (historical B-grade data, dated)",Historically display ads (now diminished),Book/media deals,Free-resource-first strategy builds topical authority before indirect monetization
Home/DIY,The Handyman's Daughter,thehandymansdaughter.com,Woodworking/handyman DIY,"Woodworking plans, laser crafts",NICHE AUTHORITY (small),US-primary,2015,UNKNOWN (small/niche scale),UNKNOWN,—,UNKNOWN,UNKNOWN,—,"Digital woodworking plans, Etsy shop, laser-craft product store, tutorials/ads",Y (D),Y,"Y (plans, laser files)","Y (SketchUp-based plans, laser files)",UNKNOWN,Y (D),N,UNKNOWN,Medium (woodworking + laser + gardening spin-off sites),Evergreen,Informational (how-to/plans),Y,N,Y,Y (own 1946 home renovation documented),Y (paid plans),UNKNOWN,Medium,MEDIUM (shop links from content),UNKNOWN,Low (mostly UNKNOWN/D),Digital plans + laser product sales,Ads/affiliate,Most directly transferable: tight niche + real downloadable digital product (files)
Home/DIY,Chris Loves Julia,chrislovesjulia.com,Home renovation/design,Whole-home renovation series,FAST-GROWTH WINNER,US-primary (88.2%),"~2011 (""over 15 years"")",~907K monthly visits,B,media-index.kochava.com/ad_partners/chris-loves-julia,UNKNOWN,UNKNOWN,—,"E-commerce (CLJ Shop), brand collabs (Pottery Barn, Loloi, Shades of Light), sponsored content, affiliate",Y (D),Y,Y (CLJ Shop décor line),UNKNOWN,UNKNOWN,Y (D),N,Y (brand collabs),"Large (15+ yrs of renovation content, multi-platform)","Evergreen (project-diary style, semi-evergreen)",Inspirational/informational,Y,N (D),Y,"Y (own home renovation documented, multiple houses)",UNKNOWN,UNKNOWN,Medium,MEDIUM (shop separate from content),UNKNOWN,Medium (B-grade third-party traffic),Brand partnerships/sponsored + e-commerce,Affiliate,Sponsored/brand-partnership revenue less relevant for a narrow B2B tool niche
Home/DIY,A Beautiful Mess (Home),abeautifulmess.com,Lifestyle/home decor DIY,"Home decor DIY, crafts crossover",FAST-GROWTH WINNER (diversified),US-primary,2007,UNKNOWN (no current public figure found),UNKNOWN,—,UNKNOWN,UNKNOWN,—,"Digital products (app, planners), courses, affiliate, display ads, sponsored",Y,Y,"Y (planners, app)",Y,Y (courses/app referenced historically),Y (D),N,Y (D),"Large (18+ yrs, multi-category)",Evergreen,Inspirational/informational,Y,N (D),Y,Y (personal projects),Y (planners),UNKNOWN,Medium,MEDIUM,UNKNOWN,Low (mostly D/UNKNOWN),Digital products (app/planners) + sponsored,Affiliate/ads,Owned digital product monetization directly transferable: build a lightweight tool as anchor
Personal Finance,Making Sense of Cents,makingsenseofcents.com,Personal finance / lifestyle,"Blogging income, budgeting, travel",REVENUE WINNER,US,2011,"~300K visits/mo (self-reported, older)",A (self-reported in interviews),nichepursuits.com/michelle-schroeder-gardner-making-sense-of-cents,$5M+ lifetime since 2011; $100K/mo by year 5; $1.5M in 2018,"A (income reports, makingsenseofcents.com/category/business-income)",makingsenseofcents.com/2019/01/how-i-made-over-1500000-in-2018...,"Affiliate (50%), courses (20%), sponsored (20%), display ads (small)",Y (small),Y,Y (courses),Y (2 courses),Y (courses),Y (~140K subs),N,Y (~20% of revenue),"Medium (blog, ~13 yrs of posts)",Evergreen,Informational + commercial (income/blogging),Y,Y (course/tool reviews),Y,Y (own blog income reports),UNKNOWN,N,Medium-High,MEDIUM,First $100 at 6 months; $10K/mo at ~2yrs; $100K/mo at 5yrs (self-reported),High (multiple self-published income reports),Affiliate marketing (courses secondary),Sponsored partnerships,High: transparent case-study progress posts build trust & backlinks pre-audience
Personal Finance,Smart Passive Income,smartpassiveincome.com,Online business / passive income,"Course creation, podcasting, SaaS reviews",REVENUE WINNER,US/Global,2008,Not disclosed,UNKNOWN,—,"$200K/mo peak (2008-era per case study); net worth ""$3M+"" by 2023; no revenue post-2019",A (archived income reports 2008-2019),smartpassiveincome.com/blog/category/income-reports,"Courses, affiliate, podcast sponsorship, books, physical product (Kickstarter), YouTube",N (not primary),Y,"Y (courses, books, SaaS tools)",Y (multiple courses),Y (courses + SPI community/podcast),Y,Y (RightMessage-type tool promos),Y (podcast sponsors),"Very large (blog+podcast+courses, 15+ yrs)",Evergreen,Informational + commercial (business tools),Y,Y (tool/software reviews),Y,Y (own business numbers),Y (freebies/lead magnets historically),N,Medium,MEDIUM-HIGH (courses require funnel),First income report within first year (2008); real scale by ~2010-2012,"Medium-High (self-published historically, data ends 2019; recent figures inferred)","Courses/products (SPI Pro, tools) — historically affiliate",Podcast sponsorships,High: teaching-through-building content plus paid tool/template tier mirrors SPI's model
Personal Finance,NerdWallet,nerdwallet.com,Personal finance (comprehensive),"Credit cards, loans, banking, taxes",TRAFFIC WINNER,US,2009,Not disclosed here; among largest US PF sites,UNKNOWN,—,"$687.6M (FY2024), $836.6M (FY2025)",A (SEC 10-K filings),investors.nerdwallet.com (10-K filings),Affiliate/lead-gen (financial product referrals),N (lead-gen model),Y (core model),N,N,N,Y,Y (core lead-gen model),N,"Very large (thousands of articles, calculators)",Mixed (evergreen guides + rate/news updates),Commercial/transactional (financial products),Y,Y (core format),Y,N (aggregator model),Y (calculators),Y (core differentiator),Very High,LOW (direct product referral),"Multi-year build to scale (founded 2009, IPO 2021, $687M+ revenue by 2024)",High (audited SEC filings),Lead-gen/affiliate commissions from financial institutions,Display/lead-gen add-ons,"Low-medium: scale/capital not replicable, but comparison/tool content format is"
